Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Label
1.86,-1.2421597499511219,0.2253730713381269,0.5304561233528212,Jumping
1.87,-0.925419190869038,0.21175162682119084,0.46915978592078633,Jumping
1.88,-0.6411825756228886,0.2295642850356457,0.4254633869593357,Jumping
1.89,-0.682676972009188,0.23165989188440506,0.31492190149138044,Jumping
1.9,-1.0409119274775709,0.2208824852336425,0.1741223937267063,Jumping
1.91,-1.4150530682273685,0.2032195132226704,0.00029048912807844,Jumping
1.92,-1.7331767738556627,0.19139430314752812,-0.2236535555493558,Jumping
1.93,-2.1045516215130404,0.16055894523006836,-0.4625965625687166,Jumping
1.94,-2.2594640346885573,0.12373613917329608,-0.657149576992318,Jumping
1.95,-1.9966661909086623,0.07463906443093322,-0.8478878264272215,Jumping
1.96,-1.699289683473518,0.03766657217067802,-1.049463476398199,Jumping
1.97,-1.657103713814114,0.01700987609004956,-1.093680070585381,Jumping
1.98,-1.6183756105202347,-0.016070774879652232,-1.1101529194002138,Jumping
1.99,-1.4849019688109721,-0.048702367238905836,-1.049463476398199,Jumping
2.0,-1.3535030469210247,-0.06486847721504957,-0.8597656174147584,Jumping
2.01,-1.540227830659371,-0.1063315555797891,-0.5095008320888452,Jumping
2.02,-1.484210395537867,-0.1609670198510164,-0.12455636504749465,Jumping
2.03,-1.1695445562750983,-0.1880602226814055,0.09765369554416777,Jumping
2.04,-0.8590281566509592,-0.2045257050645151,0.06730897404316041,Jumping
2.05,-0.8451966911888595,-0.19853825692520266,-0.24723573911585303,Jumping
2.06,-1.2103473793882926,-0.21350687727348402,-0.5532839302545842,Jumping
2.07,-1.1301248797081143,-0.20751942913417143,-0.9122186360093572,Jumping
2.08,-1.2884951592491563,-0.2060225670993432,-1.199453099817464,Jumping
2.09,-1.5678907615835707,-0.1850664986117494,-1.1561034976731677,Jumping
2.1,-1.6543374207216939,-0.16201482327539593,-0.8567311452646579,Jumping
2.11,-1.1308164529812195,-0.07594525627277793,-0.7310172990461988,Jumping
2.12,-1.055434966212776,-0.0037965061940615006,-0.6755298083014996,Jumping
2.13,-0.9599978545242875,0.05338362353637343,-0.5220722167106909,Jumping
2.14,-0.8078517344411904,0.0960441915289756,-0.5151362803676036,Jumping
2.15,-0.7428438467693217,0.11909586686532896,-0.6038295663548336,Jumping
2.16,-0.7877961095211458,0.1313701355509197,-0.6593170570995328,Jumping
