Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Label
0.571,0.9301895074963449,-0.17868694307733313,0.5197494351381192,Walking
0.581,0.7591914832553774,0.21425167355325267,0.4136673668542754,Walking
0.591,0.6136120842394187,0.46013479180699945,0.39232901978568613,Walking
0.601,0.4952229116005147,0.5844204065641988,0.44963772334132585,Walking
0.611,0.3944727243450257,0.6435588542985405,0.5794968069301691,Walking
0.621,0.31220880998045225,0.6644312476165435,0.7270362352329865,Walking
0.631,0.22109459246935295,0.6826155296738946,0.8575049858809323,Walking
0.641,0.11572283699113518,0.704752916526322,0.9763900624059295,Walking
0.651,0.014510492913373384,0.7419121016000393,1.0702787895077224,Walking
0.661,-0.08092489088597736,0.7996274316081535,1.106249145994773,Walking
0.671,-0.16103207341327744,0.8873863580588477,1.1172231530586187,Walking
0.681,-0.19624072065676673,0.99886391328,1.1007621424628498,Walking
0.692,-0.18337735577017142,1.1419663068617627,1.0513791106755435,Walking
0.702,-0.1315387655385628,1.307996708254968,1.0050444141837493,Walking
0.712,-0.022084624796934554,1.4779802144432495,0.9952897412381085,Walking
0.722,0.1325838583903909,1.6534980673446376,1.0184570894840057,Walking
0.732,0.3259194623745478,1.8219003316148887,1.0733271248032352,Walking
0.742,0.5532235927957617,1.9808151443769566,1.1324648295361825,Walking
0.752,0.8072557927717575,2.1215456750816735,1.1501451742501565,Walking
0.762,1.0619042018441172,2.2243263997536578,1.10563947893567,Walking
0.772,1.2968339198328338,2.2780886249666956,0.9910220718243908,Walking
0.782,1.4832371714828971,2.2622762057863905,0.811779956448241,Walking
0.792,1.5933845474579347,2.137358094261979,0.5631760197579938,Walking
0.802,1.5748982745670193,1.849572065180423,0.130312407795183,Walking
0.812,1.3476711702828508,1.3771760421688033,-0.47813531718916247,Walking
0.822,0.9232571551622517,0.7517948635877301,-1.1573044210294037,Walking
0.833,0.4010199459938917,0.061582766367405326,-1.8224511825102865,Walking
0.843,-0.1335414451017453,-0.5922607667382174,-2.4334777991546357,Walking
0.853,-0.5587257215927994,-1.1053737691391232,-2.865122076999241,Walking
0.863,-0.7046902512939857,-1.3761614476018509,-3.0821635500397497,Walking
0.873,-0.567121570530757,-1.394345729659202,-3.12057257476321,Walking
0.883,-0.2936787840192999,-1.2536151989544853,-3.0120518382429555,Walking
0.893,-0.004830770098746843,-1.028288225635135,-2.7297759898784753,Walking
0.903,0.18557784067768177,-0.7776613816272965,-2.254235683778486,Walking
0.913,0.17325365875040485,-0.6084684963980302,-1.6475559932655375,Walking
0.923,-0.016692795203750863,-0.5760530370784045,-1.0265491268636795,Walking
0.933,-0.2755006156765665,-0.679624382709404,-0.5244883036927294,Walking
0.943,-0.5250652997039243,-0.9302512267172424,-0.21447260413908237,Walking
0.953,-0.7139333877394435,-1.3129117708806297,-0.10040389738099517,Walking
0.964,-0.8121417124724314,-1.7785875157406197,-0.1364352205739559,Walking
0.974,-0.8190740648065248,-2.263238163616976,-0.20916850072489016,Walking
0.984,-0.7200184525660362,-2.626923804763997,-0.17228364364918589,Walking
0.994,-0.4981061517380062,-2.700451553952417,0.0005569676063872094,Walking
1.0,-0.17228559203562227,-2.444290363231471,0.2717978422011119,Walking
1.01,0.2097640477099627,-1.9177368045273062,0.599798719998284,Walking
1.02,0.6102999603464629,-1.2076801212356982,0.8989623458999058,Walking
1.03,0.9757119544902242,-0.45105586345809123,1.084301131867081,Walking
1.04,1.2614018967919125,0.20595015348359244,1.1544128436638745,Walking
1.05,1.4747642964078944,0.7206443978025288,1.1525838424865666,Walking
1.06,1.6519244116125,1.1349297803265268,1.1038104777583626,Walking
