Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Label
0.382,-0.29970338673438945,0.23525096013373709,-1.1745465714548655,Walking
0.392,-0.309418449017753,0.2413159844926224,-1.1844833984518757,Walking
0.402,-0.3114554782062002,0.2503543179732172,-1.1712342957891955,Walking
0.412,-0.3034640560053689,0.2640302243095758,-1.1557770093494013,Walking
0.422,-0.2705895387948904,0.28072548659032515,-1.1822752146747622,Walking
0.432,-0.23042089014424139,0.28717533082447594,-1.305933506193113,Walking
0.442,-0.1731490310382839,0.28802390798531785,-1.5035659542447624,Walking
0.452,-0.08649694325279958,0.28841201691934626,-1.7144475049590928,Walking
0.462,0.004229202909579049,0.29275357448644423,-1.9109758611221856,Walking
0.472,0.055389974450194966,0.3040679366310025,-2.1185451361708454,Walking
0.482,0.055781710832588705,0.3129977311724199,-2.321698043665279,Walking
0.492,0.04442135574317167,0.28944149231215055,-2.4873118269487837,Walking
0.503,0.10709917692616212,0.22291698977266336,-2.7015056533287845,Walking
0.513,0.2199192550555449,0.1427297371318694,-2.949926328254042,Walking
0.523,0.30688473194694416,0.09556463447112348,-3.082417354880846,Walking
0.533,0.4146905843816877,0.14345333005971905,-3.137621949308682,Walking
0.543,0.47979717113551895,0.25304476804131276,-3.2888825380409497,Walking
0.553,0.4594268792510471,0.29567096960918354,-3.524054110303527,Walking
0.563,0.37794571171315955,0.28711941682550574,-3.8166384607710535,Walking
0.573,0.29254718035133503,0.26672725249519724,-4.197550162323115,Walking
0.583,0.1632741741614173,0.18410609636981803,-4.549755474772704,Walking
0.593,0.02036874186419905,0.051688590573330535,-4.789343414589507,Walking
0.603,-0.10404673318403693,-0.017973674026013846,-4.86221347923425,Walking
0.613,-0.1471377352473429,-0.07849235526434889,-4.8036966091407445,Walking
0.623,-0.10796409700797387,-0.20551580468959343,-4.695495604062188,Walking
0.634,-0.026482929470086233,-0.38358544611586853,-4.565212761212497,Walking
0.644,0.04739855224936365,-0.5465254172325597,-4.409535804926002,Walking
0.654,0.058053781850472115,-0.6761143324929078,-4.258275216193733,Walking
0.664,0.06118767290962164,-0.7793907776496317,-4.190925610991775,Walking
0.674,0.06745545502792061,-0.8570125644553221,-4.207486989320126,Walking
0.684,0.11446382091516347,-0.9352921630136035,-4.224048367648477,Walking
0.694,0.23754739226326105,-1.0451467256962335,-4.14565784356095,Walking
0.704,0.38264654830188377,-1.1846028172454404,-3.8530734930934245,Walking
0.714,0.48919884431296756,-1.3418198261145933,-3.294402997483733,Walking
0.724,0.5792982122635163,-1.4964055879733842,-2.4718545405089904,Walking
0.734,0.6537281249183176,-1.617442950450054,-1.5444173541213606,Walking
0.744,0.6819331444506631,-1.7009850430290603,-0.7329098160321846,Walking
